locus_tag	ftype	length_bp	gene	EC_number	COG	product
HPFNLEKH_00001	gene	459				
HPFNLEKH_00001	CDS	459				hypothetical protein
HPFNLEKH_00002	gene	468				
HPFNLEKH_00002	CDS	468				hypothetical protein
HPFNLEKH_00003	gene	489	ndhN			
HPFNLEKH_00003	CDS	489	ndhN	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit N
HPFNLEKH_00004	gene	636	rplC			
HPFNLEKH_00004	CDS	636	rplC		COG0087	50S ribosomal protein L3
HPFNLEKH_00005	gene	633	rplD			
HPFNLEKH_00005	CDS	633	rplD			50S ribosomal protein L4
HPFNLEKH_00006	gene	315				
HPFNLEKH_00006	CDS	315				hypothetical protein
HPFNLEKH_00007	gene	864	rplB			
HPFNLEKH_00007	CDS	864	rplB		COG0090	50S ribosomal protein L2
HPFNLEKH_00008	gene	279	rpsS			
HPFNLEKH_00008	CDS	279	rpsS		COG0185	30S ribosomal protein S19
HPFNLEKH_00009	gene	360	rplV			
HPFNLEKH_00009	CDS	360	rplV		COG0091	50S ribosomal protein L22
HPFNLEKH_00010	gene	783	rpsC			
HPFNLEKH_00010	CDS	783	rpsC			30S ribosomal protein S3
HPFNLEKH_00011	gene	429	rplP			
HPFNLEKH_00011	CDS	429	rplP		COG0197	50S ribosomal protein L16
HPFNLEKH_00012	gene	225				
HPFNLEKH_00012	CDS	225				hypothetical protein
HPFNLEKH_00013	gene	246	rpsQ			
HPFNLEKH_00013	CDS	246	rpsQ		COG0186	30S ribosomal protein S17
HPFNLEKH_00014	gene	369	rplN			
HPFNLEKH_00014	CDS	369	rplN			50S ribosomal protein L14
HPFNLEKH_00015	gene	354	rplX_1			
HPFNLEKH_00015	CDS	354	rplX_1		COG0198	50S ribosomal protein L24
HPFNLEKH_00016	gene	549	rplE			
HPFNLEKH_00016	CDS	549	rplE		COG0094	50S ribosomal protein L5
HPFNLEKH_00017	gene	402	rpsH			
HPFNLEKH_00017	CDS	402	rpsH		COG0096	30S ribosomal protein S8
HPFNLEKH_00018	gene	549	rplF			
HPFNLEKH_00018	CDS	549	rplF			50S ribosomal protein L6
HPFNLEKH_00019	gene	363	rplR			
HPFNLEKH_00019	CDS	363	rplR			50S ribosomal protein L18
HPFNLEKH_00020	gene	525	rpsE			
HPFNLEKH_00020	CDS	525	rpsE		COG0098	30S ribosomal protein S5
HPFNLEKH_00021	gene	447	rplO			
HPFNLEKH_00021	CDS	447	rplO		COG0200	50S ribosomal protein L15
HPFNLEKH_00022	gene	1314	secY			
HPFNLEKH_00022	CDS	1314	secY		COG0201	Protein translocase subunit SecY
HPFNLEKH_00023	gene	555	adk_1			
HPFNLEKH_00023	CDS	555	adk_1	2.7.4.3	COG0563	Adenylate kinase
HPFNLEKH_00024	gene	225	infA_1			
HPFNLEKH_00024	CDS	225	infA_1			Translation initiation factor IF-1
HPFNLEKH_00025	gene	381	rpsM			
HPFNLEKH_00025	CDS	381	rpsM		COG0099	30S ribosomal protein S13
HPFNLEKH_00026	gene	396	rpsK			
HPFNLEKH_00026	CDS	396	rpsK			30S ribosomal protein S11
HPFNLEKH_00027	gene	948	rpoA			
HPFNLEKH_00027	CDS	948	rpoA	2.7.7.6	COG0202	DNA-directed RNA polymerase subunit alpha
HPFNLEKH_00028	gene	351	rplQ			
HPFNLEKH_00028	CDS	351	rplQ		COG0203	50S ribosomal protein L17
HPFNLEKH_00029	gene	849	truA			
HPFNLEKH_00029	CDS	849	truA	5.4.99.12	COG0101	tRNA pseudouridine synthase A
HPFNLEKH_00030	gene	456	rplM			
HPFNLEKH_00030	CDS	456	rplM		COG0102	50S ribosomal protein L13
HPFNLEKH_00031	gene	417	rpsI			
HPFNLEKH_00031	CDS	417	rpsI		COG0103	30S ribosomal protein S9
HPFNLEKH_00032	gene	240	rpmE			
HPFNLEKH_00032	CDS	240	rpmE		COG0254	50S ribosomal protein L31
HPFNLEKH_00033	gene	1101	prfA			
HPFNLEKH_00033	CDS	1101	prfA		COG0216	Peptide chain release factor 1
HPFNLEKH_00034	gene	606				
HPFNLEKH_00034	CDS	606				hypothetical protein
HPFNLEKH_00035	gene	1695	ybiT			
HPFNLEKH_00035	CDS	1695	ybiT		COG0488	putative ABC transporter ATP-binding protein YbiT
HPFNLEKH_00036	gene	1659	gpmI			
HPFNLEKH_00036	CDS	1659	gpmI	5.4.2.12	COG0696	2,3-bisphosphoglycerate-independent phosphoglycerate mutase
HPFNLEKH_00037	gene	234				
HPFNLEKH_00037	CDS	234				hypothetical protein
HPFNLEKH_00038	gene	750				
HPFNLEKH_00038	CDS	750				hypothetical protein
HPFNLEKH_00039	gene	789	rcsC_1			
HPFNLEKH_00039	CDS	789	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
HPFNLEKH_00040	gene	243				
HPFNLEKH_00040	CDS	243				hypothetical protein
HPFNLEKH_00041	gene	786				
HPFNLEKH_00041	CDS	786				hypothetical protein
HPFNLEKH_00042	gene	3684				
HPFNLEKH_00042	CDS	3684				hypothetical protein
HPFNLEKH_00043	gene	492				
HPFNLEKH_00043	CDS	492				hypothetical protein
HPFNLEKH_00044	gene	1770				
HPFNLEKH_00044	CDS	1770				hypothetical protein
HPFNLEKH_00045	gene	1197				
HPFNLEKH_00045	CDS	1197				hypothetical protein
HPFNLEKH_00046	gene	741				
HPFNLEKH_00046	CDS	741				hypothetical protein
HPFNLEKH_00047	gene	1542				
HPFNLEKH_00047	CDS	1542				hypothetical protein
HPFNLEKH_00048	gene	795				
HPFNLEKH_00048	CDS	795				hypothetical protein
HPFNLEKH_00049	gene	1113				
HPFNLEKH_00049	CDS	1113				hypothetical protein
HPFNLEKH_00050	gene	717				
HPFNLEKH_00050	CDS	717				hypothetical protein
HPFNLEKH_00051	gene	2820				
HPFNLEKH_00051	CDS	2820				hypothetical protein
HPFNLEKH_00052	gene	309				
HPFNLEKH_00052	CDS	309				hypothetical protein
HPFNLEKH_00053	gene	360				
HPFNLEKH_00053	CDS	360				hypothetical protein
HPFNLEKH_00054	gene	606				
HPFNLEKH_00054	CDS	606				hypothetical protein
HPFNLEKH_00055	gene	666	cckA_1			
HPFNLEKH_00055	CDS	666	cckA_1			Sensor kinase CckA
HPFNLEKH_00056	gene	720	tolQ_1			
HPFNLEKH_00056	CDS	720	tolQ_1			Tol-Pal system protein TolQ
HPFNLEKH_00057	gene	654	tolR_1			
HPFNLEKH_00057	CDS	654	tolR_1			Tol-Pal system protein TolR
HPFNLEKH_00058	gene	366				
HPFNLEKH_00058	CDS	366				hypothetical protein
HPFNLEKH_00059	gene	702	thf1			
HPFNLEKH_00059	CDS	702	thf1			Protein Thf1
HPFNLEKH_00060	gene	597	cpcT2			
HPFNLEKH_00060	CDS	597	cpcT2			Phycocyanobilin lyase CpcT 
HPFNLEKH_00061	gene	369				
HPFNLEKH_00061	CDS	369				hypothetical protein
HPFNLEKH_00062	gene	1044	hemF_1			
HPFNLEKH_00062	CDS	1044	hemF_1	1.3.3.3		Oxygen-dependent coproporphyrinogen-III oxidase
HPFNLEKH_00063	gene	525				
HPFNLEKH_00063	CDS	525				hypothetical protein
HPFNLEKH_00064	gene	1071	apbC			
HPFNLEKH_00064	CDS	1071	apbC		COG0489	Iron-sulfur cluster carrier protein
HPFNLEKH_00065	gene	1317	mrdB			
HPFNLEKH_00065	CDS	1317	mrdB	2.4.1.129	COG0772	Peptidoglycan glycosyltransferase MrdB
HPFNLEKH_00066	gene	198				
HPFNLEKH_00066	CDS	198				hypothetical protein
HPFNLEKH_00067	gene	657				
HPFNLEKH_00067	CDS	657				hypothetical protein
HPFNLEKH_00068	gene	2139	kefB_1			
HPFNLEKH_00068	CDS	2139	kefB_1			Glutathione-regulated potassium-efflux system protein KefB
HPFNLEKH_00069	gene	936				
HPFNLEKH_00069	CDS	936		5.1.3.2	COG1088	UDP-glucose 4-epimerase
HPFNLEKH_00070	gene	1386	tuaD			
HPFNLEKH_00070	CDS	1386	tuaD	1.1.1.22	COG1004	UDP-glucose 6-dehydrogenase TuaD
HPFNLEKH_00071	gene	471	ybaK			
HPFNLEKH_00071	CDS	471	ybaK	4.2.-.-	COG2606	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK
HPFNLEKH_00072	gene	198				
HPFNLEKH_00072	CDS	198				hypothetical protein
HPFNLEKH_00073	gene	573	cya_1			
HPFNLEKH_00073	CDS	573	cya_1	4.6.1.1	COG2114	Adenylate cyclase
HPFNLEKH_00074	gene	513				
HPFNLEKH_00074	CDS	513				hypothetical protein
HPFNLEKH_00075	gene	423	rnpA			
HPFNLEKH_00075	CDS	423	rnpA	3.1.26.5		Ribonuclease P protein component
HPFNLEKH_00076	gene	384				
HPFNLEKH_00076	CDS	384				hypothetical protein
HPFNLEKH_00077	gene	1143	yidC			
HPFNLEKH_00077	CDS	1143	yidC			Membrane protein insertase YidC
HPFNLEKH_00078	gene	519				
HPFNLEKH_00078	CDS	519				hypothetical protein
HPFNLEKH_00079	gene	510				
HPFNLEKH_00079	CDS	510				hypothetical protein
HPFNLEKH_00080	gene	1476				
HPFNLEKH_00080	CDS	1476				hypothetical protein
HPFNLEKH_00081	gene	687				
HPFNLEKH_00081	CDS	687				hypothetical protein
HPFNLEKH_00082	gene	1254				
HPFNLEKH_00082	CDS	1254				hypothetical protein
HPFNLEKH_00083	gene	111				
HPFNLEKH_00083	CDS	111				hypothetical protein
HPFNLEKH_00084	gene	648	petB_1			
HPFNLEKH_00084	CDS	648	petB_1		COG1290	Cytochrome b6
HPFNLEKH_00085	gene	483	petD			
HPFNLEKH_00085	CDS	483	petD		COG1290	Cytochrome b6-f complex subunit 4
HPFNLEKH_00086	gene	444	rsbW_1			
HPFNLEKH_00086	CDS	444	rsbW_1	2.7.11.1		Serine-protein kinase RsbW
HPFNLEKH_00087	gene	1005	gmd_1			
HPFNLEKH_00087	CDS	1005	gmd_1	4.2.1.47	COG1089	GDP-mannose 4,6-dehydratase
HPFNLEKH_00088	gene	1167	mshA_1			
HPFNLEKH_00088	CDS	1167	mshA_1	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
HPFNLEKH_00089	gene	372				
HPFNLEKH_00089	CDS	372				hypothetical protein
HPFNLEKH_00090	gene	198	rpmI			
HPFNLEKH_00090	CDS	198	rpmI		COG0291	50S ribosomal protein L35
HPFNLEKH_00091	gene	357	rplT			
HPFNLEKH_00091	CDS	357	rplT		COG0292	50S ribosomal protein L20
HPFNLEKH_00092	gene	816	glnH			
HPFNLEKH_00092	CDS	816	glnH		COG0834	ABC transporter glutamine-binding protein GlnH
HPFNLEKH_00093	gene	525				
HPFNLEKH_00093	CDS	525				hypothetical protein
HPFNLEKH_00094	gene	210				
HPFNLEKH_00094	CDS	210				hypothetical protein
HPFNLEKH_00095	gene	405				
HPFNLEKH_00095	CDS	405				hypothetical protein
HPFNLEKH_00096	gene	462				
HPFNLEKH_00096	CDS	462				hypothetical protein
HPFNLEKH_00097	gene	891	gsiD_1			
HPFNLEKH_00097	CDS	891	gsiD_1		COG1173	Glutathione transport system permease protein GsiD
HPFNLEKH_00098	gene	204				
HPFNLEKH_00098	CDS	204				hypothetical protein
HPFNLEKH_00099	gene	936	glkA			
HPFNLEKH_00099	CDS	936	glkA	2.7.1.2		Glucokinase
HPFNLEKH_00100	gene	423				
HPFNLEKH_00100	CDS	423				hypothetical protein
HPFNLEKH_00101	gene	1638	pyrG			
HPFNLEKH_00101	CDS	1638	pyrG	6.3.4.2		CTP synthase
HPFNLEKH_00102	gene	1794				
HPFNLEKH_00102	CDS	1794				hypothetical protein
HPFNLEKH_00103	gene	684	lytC			
HPFNLEKH_00103	CDS	684	lytC	3.5.1.28	COG0860	N-acetylmuramoyl-L-alanine amidase LytC
HPFNLEKH_00104	gene	192				
HPFNLEKH_00104	CDS	192				hypothetical protein
HPFNLEKH_00105	gene	504				
HPFNLEKH_00105	CDS	504				hypothetical protein
HPFNLEKH_00106	gene	2112				
HPFNLEKH_00106	CDS	2112				hypothetical protein
HPFNLEKH_00107	gene	273				
HPFNLEKH_00107	CDS	273				hypothetical protein
HPFNLEKH_00108	gene	459				
HPFNLEKH_00108	CDS	459				hypothetical protein
HPFNLEKH_00109	gene	1215				
HPFNLEKH_00109	CDS	1215				hypothetical protein
HPFNLEKH_00110	gene	858				
HPFNLEKH_00110	CDS	858				hypothetical protein
HPFNLEKH_00111	gene	537	ogt			
HPFNLEKH_00111	CDS	537	ogt	2.1.1.63	COG0350	Methylated-DNA--protein-cysteine methyltransferase
HPFNLEKH_00112	gene	1164	ureC			
HPFNLEKH_00112	CDS	1164	ureC	3.5.1.5	COG0804	Urease subunit alpha
HPFNLEKH_00113	gene	1182	rcsC_2			
HPFNLEKH_00113	CDS	1182	rcsC_2	2.7.13.3		Sensor histidine kinase RcsC
HPFNLEKH_00114	gene	1383	aldH1			
HPFNLEKH_00114	CDS	1383	aldH1	1.2.1.-	COG1012	4,4'-diaponeurosporen-aldehyde dehydrogenase
HPFNLEKH_00115	gene	591	yedY1_1			
HPFNLEKH_00115	CDS	591	yedY1_1		COG2041	Putative protein-methionine-sulfoxide reductase subunit YedZ1
HPFNLEKH_00116	gene	174				
HPFNLEKH_00116	CDS	174				hypothetical protein
HPFNLEKH_00117	gene	573				
HPFNLEKH_00117	CDS	573				hypothetical protein
HPFNLEKH_00118	gene	1950				
HPFNLEKH_00118	CDS	1950				hypothetical protein
HPFNLEKH_00119	gene	378				
HPFNLEKH_00119	CDS	378				hypothetical protein
HPFNLEKH_00120	gene	1770	rnjA			
HPFNLEKH_00120	CDS	1770	rnjA	3.1.-.-	COG0595	Ribonuclease J1
HPFNLEKH_00121	gene	885	dapA			
HPFNLEKH_00121	CDS	885	dapA	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
HPFNLEKH_00122	gene	1044	asd			
HPFNLEKH_00122	CDS	1044	asd	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase
HPFNLEKH_00123	gene	1416	tig			
HPFNLEKH_00123	CDS	1416	tig	5.2.1.8		Trigger factor
HPFNLEKH_00124	gene	729				
HPFNLEKH_00124	CDS	729				hypothetical protein
HPFNLEKH_00125	gene	1341				
HPFNLEKH_00125	CDS	1341				hypothetical protein
HPFNLEKH_00126	gene	177				
HPFNLEKH_00126	CDS	177				hypothetical protein
HPFNLEKH_00127	gene	2184				
HPFNLEKH_00127	CDS	2184				hypothetical protein
HPFNLEKH_00128	gene	681	plsY			
HPFNLEKH_00128	CDS	681	plsY	2.3.1.275	COG0344	Glycerol-3-phosphate acyltransferase
HPFNLEKH_00129	gene	258				
HPFNLEKH_00129	CDS	258				hypothetical protein
HPFNLEKH_00130	gene	678				
HPFNLEKH_00130	CDS	678				hypothetical protein
HPFNLEKH_00131	gene	2682				
HPFNLEKH_00131	CDS	2682				hypothetical protein
HPFNLEKH_00132	gene	813	proC			
HPFNLEKH_00132	CDS	813	proC	1.5.1.2	COG0345	Pyrroline-5-carboxylate reductase
HPFNLEKH_00133	gene	597	sepF			
HPFNLEKH_00133	CDS	597	sepF		COG1799	Cell division protein SepF
HPFNLEKH_00134	gene	669	yggS			
HPFNLEKH_00134	CDS	669	yggS		COG0325	Pyridoxal phosphate homeostasis protein
HPFNLEKH_00135	gene	279				
HPFNLEKH_00135	CDS	279				hypothetical protein
HPFNLEKH_00136	gene	132				
HPFNLEKH_00136	CDS	132				hypothetical protein
HPFNLEKH_00137	gene	927	ecfT			
HPFNLEKH_00137	CDS	927	ecfT		COG0619	Energy-coupling factor transporter transmembrane protein EcfT
HPFNLEKH_00138	gene	1362	der_1			
HPFNLEKH_00138	CDS	1362	der_1		COG1160	GTPase Der
HPFNLEKH_00139	gene	387				
HPFNLEKH_00139	CDS	387				hypothetical protein
HPFNLEKH_00140	gene	426	teaD_1			
HPFNLEKH_00140	CDS	426	teaD_1		COG0589	TRAP-T-associated universal stress protein TeaD
HPFNLEKH_00141	gene	1302	hisD_1			
HPFNLEKH_00141	CDS	1302	hisD_1	1.1.1.23		Histidinol dehydrogenase
HPFNLEKH_00142	gene	330	rpsT			
HPFNLEKH_00142	CDS	330	rpsT		COG0268	30S ribosomal protein S20
HPFNLEKH_00143	gene	786	dtd3			
HPFNLEKH_00143	CDS	786	dtd3	3.1.1.96		D-aminoacyl-tRNA deacylase
HPFNLEKH_00144	gene	3411	rpoB			
HPFNLEKH_00144	CDS	3411	rpoB	2.7.7.6	COG0085	DNA-directed RNA polymerase subunit beta
HPFNLEKH_00145	gene	1878	rpoC			
HPFNLEKH_00145	CDS	1878	rpoC	2.7.7.6	COG0086	DNA-directed RNA polymerase subunit beta'
HPFNLEKH_00146	gene	4068	rpoC2			
HPFNLEKH_00146	CDS	4068	rpoC2	2.7.7.6		DNA-directed RNA polymerase subunit beta'
HPFNLEKH_00147	gene	1887	ftsH2_1			
HPFNLEKH_00147	CDS	1887	ftsH2_1	3.4.24.-		ATP-dependent zinc metalloprotease FtsH 2
HPFNLEKH_00148	gene	495				
HPFNLEKH_00148	CDS	495				hypothetical protein
HPFNLEKH_00149	gene	1821				
HPFNLEKH_00149	CDS	1821				hypothetical protein
HPFNLEKH_00150	gene	345				
HPFNLEKH_00150	CDS	345				hypothetical protein
HPFNLEKH_00151	gene	603	betI			
HPFNLEKH_00151	CDS	603	betI			HTH-type transcriptional regulator BetI
HPFNLEKH_00152	gene	1305				
HPFNLEKH_00152	CDS	1305				hypothetical protein
HPFNLEKH_00153	gene	1167				
HPFNLEKH_00153	CDS	1167				hypothetical protein
HPFNLEKH_00154	gene	750	macB_1			
HPFNLEKH_00154	CDS	750	macB_1	3.6.3.-		Macrolide export ATP-binding/permease protein MacB
HPFNLEKH_00155	gene	567				
HPFNLEKH_00155	CDS	567				hypothetical protein
HPFNLEKH_00156	gene	1500	purF			
HPFNLEKH_00156	CDS	1500	purF	2.4.2.14	COG0034	Amidophosphoribosyltransferase
HPFNLEKH_00157	gene	1803	purL			
HPFNLEKH_00157	CDS	1803	purL	6.3.5.3	COG0046	Phosphoribosylformylglycinamidine synthase subunit PurL
HPFNLEKH_00158	gene	375				
HPFNLEKH_00158	CDS	375				hypothetical protein
HPFNLEKH_00159	gene	1317	msmX			
HPFNLEKH_00159	CDS	1317	msmX	7.5.2.-	COG3839	Oligosaccharides import ATP-binding protein MsmX
HPFNLEKH_00160	gene	1233	oxyE			
HPFNLEKH_00160	CDS	1233	oxyE	1.14.13.232		6-methylpretetramide 4-monooxygenase
HPFNLEKH_00161	gene	549				
HPFNLEKH_00161	CDS	549				Single-stranded DNA-binding protein
HPFNLEKH_00162	gene	1884	gsiA_1			
HPFNLEKH_00162	CDS	1884	gsiA_1	7.4.2.10	COG1123	Glutathione import ATP-binding protein GsiA
HPFNLEKH_00163	gene	546	azr			
HPFNLEKH_00163	CDS	546	azr	1.7.-.-	COG0431	FMN-dependent NADPH-azoreductase
HPFNLEKH_00164	gene	1971	ftsH2_2			
HPFNLEKH_00164	CDS	1971	ftsH2_2	3.4.24.-		ATP-dependent zinc metalloprotease FtsH 2
HPFNLEKH_00165	gene	132				
HPFNLEKH_00165	CDS	132				hypothetical protein
HPFNLEKH_00166	gene	261	psaK_1			
HPFNLEKH_00166	CDS	261	psaK_1			Photosystem I reaction center subunit PsaK
HPFNLEKH_00167	gene	924	glsA2			
HPFNLEKH_00167	CDS	924	glsA2	3.5.1.2	COG2066	Glutaminase 2
HPFNLEKH_00168	gene	2340				
HPFNLEKH_00168	CDS	2340				hypothetical protein
HPFNLEKH_00169	gene	582				
HPFNLEKH_00169	CDS	582				hypothetical protein
HPFNLEKH_00170	gene	4680	gltS			
HPFNLEKH_00170	CDS	4680	gltS	1.4.7.1		Ferredoxin-dependent glutamate synthase 2
HPFNLEKH_00171	gene	1983				
HPFNLEKH_00171	CDS	1983				hypothetical protein
HPFNLEKH_00172	gene	423				
HPFNLEKH_00172	CDS	423				hypothetical protein
HPFNLEKH_00173	gene	339				
HPFNLEKH_00173	CDS	339				putative protein
HPFNLEKH_00174	gene	384	rpsL			
HPFNLEKH_00174	CDS	384	rpsL		COG0048	30S ribosomal protein S12
HPFNLEKH_00175	gene	471	rpsG			
HPFNLEKH_00175	CDS	471	rpsG		COG0049	30S ribosomal protein S7
HPFNLEKH_00176	gene	2079	fusA_1			
HPFNLEKH_00176	CDS	2079	fusA_1		COG0480	Elongation factor G
HPFNLEKH_00177	gene	1230	tuf			
HPFNLEKH_00177	CDS	1230	tuf		COG0050	Elongation factor Tu
HPFNLEKH_00178	gene	318	rpsJ			
HPFNLEKH_00178	CDS	318	rpsJ		COG0051	30S ribosomal protein S10
HPFNLEKH_00179	gene	480				
HPFNLEKH_00179	CDS	480				hypothetical protein
HPFNLEKH_00180	gene	255				
HPFNLEKH_00180	CDS	255				hypothetical protein
HPFNLEKH_00181	gene	666	lipB			
HPFNLEKH_00181	CDS	666	lipB	2.3.1.181	COG0321	Octanoyltransferase
HPFNLEKH_00182	gene	642	hpf			
HPFNLEKH_00182	CDS	642	hpf		COG1544	Ribosome hibernation promotion factor
HPFNLEKH_00183	gene	462	bcp_1			
HPFNLEKH_00183	CDS	462	bcp_1	1.11.1.15	COG1225	Putative peroxiredoxin bcp
HPFNLEKH_00184	gene	738	rsmG			
HPFNLEKH_00184	CDS	738	rsmG	2.1.1.-	COG0357	Ribosomal RNA small subunit methyltransferase G
HPFNLEKH_00185	gene	969				
HPFNLEKH_00185	CDS	969				hypothetical protein
HPFNLEKH_00186	gene	2343				
HPFNLEKH_00186	CDS	2343				hypothetical protein
HPFNLEKH_00187	gene	804				
HPFNLEKH_00187	CDS	804				hypothetical protein
HPFNLEKH_00188	gene	564				
